Economy,Branch Path,Variable,Scenario,Year,Value,Units,notes,DO_NOT_USE,share_decreased_from
02_BD,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,143.9025219,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
02_BD,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Target,2022,620.3013881,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Brunei Darussalam.",,
02_BD,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Target,2022,423.4202922,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Brunei Darussalam.",,
02_BD,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Target,2022,182.9094955,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
03_CDA,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,248.3811579,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
03_CDA,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,186.8411457,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
03_CDA,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,155.4820392,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
03_CDA,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,579.1603174,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Canada.",,
03_CDA,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,389.3543779,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Canada.",,
03_CDA,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,205.120284,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
03_CDA,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,248.3811579,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
03_CDA,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,186.8411457,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
03_CDA,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,155.4820392,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
03_CDA,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Target,2022,579.1603174,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Canada.",,
03_CDA,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Target,2022,389.3543779,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Canada.",,
03_CDA,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Target,2022,205.120284,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
04_CHL,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,241.4689096,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
04_CHL,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,173.7277212,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
04_CHL,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,139.4554719,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
04_CHL,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,642.3624555,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Chile.",,
04_CHL,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,450.7323511,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Chile.",,
04_CHL,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,134.6712061,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
04_CHL,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,241.4689096,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
04_CHL,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,173.7277212,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
04_CHL,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,139.4554719,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
04_CHL,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Target,2022,642.3624555,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Chile.",,
04_CHL,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Target,2022,450.7323511,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Chile.",,
04_CHL,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Target,2022,134.6712061,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
18_CT,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,277.8996592,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
18_CT,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,210.6645935,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
18_CT,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,174.114639,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
18_CT,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,586.1200796,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Chinese Taipei.",,
18_CT,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,405.9421575,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Chinese Taipei.",,
18_CT,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,182.7517704,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
18_CT,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,277.8996592,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
18_CT,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,210.6645935,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
18_CT,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,174.114639,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
18_CT,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Target,2022,586.1200796,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Chinese Taipei.",,
18_CT,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Target,2022,405.9421575,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Chinese Taipei.",,
18_CT,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Target,2022,182.7517704,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
06_HKC,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,225.876707,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
06_HKC,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,163.3405939,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
06_HKC,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,130.6724751,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
06_HKC,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,492.4570417,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Hong Kong, China.",,
06_HKC,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,359.9961165,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Hong Kong, China.",,
06_HKC,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,131.5012458,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
06_HKC,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,225.876707,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
06_HKC,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,163.3405939,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
06_HKC,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,130.6724751,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
06_HKC,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Target,2022,492.4570417,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Hong Kong, China.",,
06_HKC,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Target,2022,359.9961165,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Hong Kong, China.",,
06_HKC,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Target,2022,131.5012458,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel.,,
07_INA,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,268.0610866,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 268.0610865860272 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
07_INA,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,200.9146208,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 200.914620759843 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
07_INA,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,156.4928566,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 156.49285663783297 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
07_INA,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,432.1349634,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Indonesia.",,
07_INA,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,285.6263513,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Indonesia.",,
07_INA,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,183.3896932,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 183.3896932143958 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
07_INA,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,268.0610866,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 268.06108658602716 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
07_INA,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,198.7582547,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 198.75825470014598 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
07_INA,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,156.4928566,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 156.49285663783297 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
07_INA,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Target,2022,432.1349634,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Indonesia.",,
07_INA,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Target,2022,285.6263513,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Indonesia.",,
07_INA,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Target,2022,183.3896932,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 183.3896932143958 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
08_JPN,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,268.0610866,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 268.0610865860272 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
08_JPN,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,200.9146208,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 200.914620759843 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
08_JPN,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,156.4928566,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 156.49285663783297 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
08_JPN,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,695.2051289,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Japan.",,
08_JPN,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,502.7946204,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Japan.",,
08_JPN,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,183.3896932,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 183.3896932143958 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
08_JPN,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,268.0610866,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 268.06108658602716 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
08_JPN,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,198.7582547,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 198.75825470014598 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
08_JPN,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,156.4928566,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 156.49285663783297 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
08_JPN,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Target,2022,695.2051289,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Japan.",,
08_JPN,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Target,2022,502.7946204,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Japan.",,
08_JPN,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Target,2022,183.3896932,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 183.3896932143958 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
10_MAS,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,268.0610866,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 268.0610865860272 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
10_MAS,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,200.9146208,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 200.914620759843 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
10_MAS,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,156.4928566,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 156.49285663783297 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
10_MAS,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,591.684837,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Malaysia.",,
10_MAS,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,428.3434577,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Malaysia.",,
10_MAS,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,183.3896932,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 183.3896932143958 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
10_MAS,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,268.0610866,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 268.06108658602716 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
10_MAS,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,198.7582547,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 198.75825470014598 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
10_MAS,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,156.4928566,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 156.49285663783297 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
10_MAS,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Target,2022,591.684837,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Malaysia.",,
10_MAS,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Target,2022,428.3434577,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Malaysia.",,
10_MAS,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Target,2022,183.3896932,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 183.3896932143958 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
11_MEX,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Current Accounts,2022,268.0610866,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 268.0610865860272 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
11_MEX,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Current Accounts,2022,200.9146208,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 200.914620759843 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
11_MEX,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Current Accounts,2022,156.4928566,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 156.49285663783297 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
11_MEX,Demand\Passenger road\LPVs\HEV large,Fuel Economy,Current Accounts,2022,569.4070644,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Mexico.",,
11_MEX,Demand\Passenger road\LPVs\HEV medium,Fuel Economy,Current Accounts,2022,388.777096,MJ/100 km,"No aggregated HEV value; computed mean across HEV fuel types (Biodiesel, Biogasoline, Efuel, Gas and diesel oil, Motor gasoline) for Mexico.",,
11_MEX,Demand\Passenger road\LPVs\PHEV small\Electricity,Fuel Economy,Current Accounts,2022,183.3896932,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 183.3896932143958 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=15.0.,,
11_MEX,Demand\Passenger road\LPVs\EREV large\Electricity,Fuel Economy,Target,2022,268.0610866,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 268.06108658602716 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
11_MEX,Demand\Passenger road\LPVs\EREV medium\Electricity,Fuel Economy,Target,2022,198.7582547,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 198.75825470014598 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
11_MEX,Demand\Passenger road\LPVs\EREV small\Electricity,Fuel Economy,Target,2022,156.4928566,MJ/100 km,Used existing 2022 value from existing dataset for this technology/fuel. Original filled value was 0. Replaced with estimated 2022 value 156.49285663783297 using median non-zero value for same Scenario + Drive + Size + Fuel; basis count=14.0.,,
