Branch Path,Variable,Scenario,Region,Scale,Units,Per...,2022,input_source,standardized_label_status,notes,source_type,source_name,source_scope,source_date,default_version,researcher_review_recommended,review_reason
Demand\Freight road\Age 11,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.35436867,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 12,Survival Rate,Current Accounts,Malaysia,%,Share,,0.8691253,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 12,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.32247549,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 13,Survival Rate,Current Accounts,Malaysia,%,Share,,0.84140672,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 13,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.29345269,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 14,Survival Rate,Current Accounts,Malaysia,%,Share,,0.81053543,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 14,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.26704195,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 15,Survival Rate,Current Accounts,Malaysia,%,Share,,0.7764165,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 15,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.24300818,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 16,Survival Rate,Current Accounts,Malaysia,%,Share,,0.73895902,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 16,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.22113744,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 17,Survival Rate,Current Accounts,Malaysia,%,Share,,0.69807565,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 17,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.20123507,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 18,Survival Rate,Current Accounts,Malaysia,%,Share,,0.65368226,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 18,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.18312391,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 19,Survival Rate,Current Accounts,Malaysia,%,Share,,0.60569765,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 19,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.16664276,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 2,Survival Rate,Current Accounts,Malaysia,%,Share,,0.99822461,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 2,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.8281,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 20,Survival Rate,Current Accounts,Malaysia,%,Share,,0.55404328,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 20,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.15164491,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 21,Survival Rate,Current Accounts,Malaysia,%,Share,,0.49864306,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 21,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.13799687,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 22,Survival Rate,Current Accounts,Malaysia,%,Share,,0.43942315,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 22,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.12557715,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 23,Survival Rate,Current Accounts,Malaysia,%,Share,,0.37631179,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 23,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.11427521,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 24,Survival Rate,Current Accounts,Malaysia,%,Share,,0.30923917,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 24,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.10399044,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 25,Survival Rate,Current Accounts,Malaysia,%,Share,,0.23813724,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 25,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.0946313,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 26,Survival Rate,Current Accounts,Malaysia,%,Share,,0.16293967,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 26,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.08611448,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 27,Survival Rate,Current Accounts,Malaysia,%,Share,,0.08358169,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 27,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.07836418,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 28,Survival Rate,Current Accounts,Malaysia,%,Share,,0.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 28,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.0713114,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 29,Survival Rate,Current Accounts,Malaysia,%,Share,,0.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 29,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.06489338,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 3,Survival Rate,Current Accounts,Malaysia,%,Share,,0.99530201,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 3,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.753571,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 30,Survival Rate,Current Accounts,Malaysia,%,Share,,0.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 30,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.05905297,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 4,Survival Rate,Current Accounts,Malaysia,%,Share,,0.99062946,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 4,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.68574961,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 5,Survival Rate,Current Accounts,Malaysia,%,Share,,0.98399157,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 5,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.62403215,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 6,Survival Rate,Current Accounts,Malaysia,%,Share,,0.97520388,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 6,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.56786925,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 7,Survival Rate,Current Accounts,Malaysia,%,Share,,0.96410318,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 7,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.51676102,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 8,Survival Rate,Current Accounts,Malaysia,%,Share,,0.95054198,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 8,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.47025253,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 9,Survival Rate,Current Accounts,Malaysia,%,Share,,0.93438506,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Age 9,Vintage Profile Share,Current Accounts,Malaysia,%,Share,,0.4279298,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs,Mileage,Current Accounts,Malaysia,,Kilometer,,21000.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\BEV,Sales Share,Current Accounts,Malaysia,%,Share,,5.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\BEV,Stock,Current Accounts,Malaysia,,Device,,31484.69387755,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\BEV\Electricity,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,0.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\FCEV,Sales Share,Current Accounts,Malaysia,%,Share,,0.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\FCEV,Stock,Current Accounts,Malaysia,,Device,,0.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\FCEV\Hydrogen,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,110.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\ICE,Sales Share,Current Accounts,Malaysia,%,Share,,88.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\ICE,Stock,Current Accounts,Malaysia,,Device,,986520.40816327,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\ICE\Gas and diesel oil,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,393.0630437430738,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\ICE\LPG,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,271.5234939289082,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\ICE\Motor gasoline,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,392.5557649092615,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\ICE\Natural gas,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,590.4670982452682,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\PHEV,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,150.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\PHEV,Sales Share,Current Accounts,Malaysia,%,Share,,6.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\LCVs\PHEV,Stock,Current Accounts,Malaysia,,Device,,10494.89795918,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\PHEV,PHEV Electric Driving Share,Current Accounts,Malaysia,%,Share,,0.42,provided,standardized,PHEV utilisation rate from apec_phev_utilisation_rates.csv; source data_year 2024; evidence_grade C; range 0.28-0.54; synthetic_estimate. Future-year changes are handled by LEAP adjustment variables.,apec_phev_utilisation_rates,apec_phev_utilisation_rates.csv,10MAS,2024,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\BEV heavy,Sales Share,Current Accounts,Malaysia,%,Share,,2.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\BEV heavy,Stock,Current Accounts,Malaysia,,Device,,7480.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\BEV heavy\Electricity,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,0.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\BEV medium,Sales Share,Current Accounts,Malaysia,%,Share,,6.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\BEV medium,Stock,Current Accounts,Malaysia,,Device,,9350.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\BEV medium\Electricity,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,0.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\FCEV heavy,Sales Share,Current Accounts,Malaysia,%,Share,,1.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\FCEV heavy,Stock,Current Accounts,Malaysia,,Device,,7480.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\FCEV heavy\Hydrogen,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,1448.674417493935,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\FCEV medium,Sales Share,Current Accounts,Malaysia,%,Share,,2.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\FCEV medium,Stock,Current Accounts,Malaysia,,Device,,4675.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\FCEV medium\Hydrogen,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,1207.228681633757,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\Heavy trucks,Mileage,Current Accounts,Malaysia,,Kilometer,,65000.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE heavy,Sales Share,Current Accounts,Malaysia,%,Share,,37.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE heavy,Stock,Current Accounts,Malaysia,,Device,,359040.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE heavy\Gas and diesel oil,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,2108.5965721492,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE heavy\LPG,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,912.0721000611973,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE heavy\Motor gasoline,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,2054.435590271881,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE heavy\Natural gas,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,2001.436497832831,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE medium,Sales Share,Current Accounts,Malaysia,%,Share,,40.0,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE medium,Stock,Current Accounts,Malaysia,,Device,,453475.0,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE medium\Gas and diesel oil,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,1759.892071058672,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE medium\LPG,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,760.0600833843321,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
Demand\Freight road\Trucks\ICE medium\Motor gasoline,Fuel Economy,Current Accounts,Malaysia,,MJ/100 km,,1651.63988971964,default,standardized,Transport LEAP export value overlay applied from Malaysia / Current Accounts.,transport_leap_export_default,transport_leap_export_combined_10_MAS_domestic_international_Target_20260514.xlsx,exact_region_match,2026-05-25,v2026_05_25_best_guess,False,
