Branch Path,Variable,Scenario,Year,Value,Units,share_decreased_from,note,DO_NOT_USE
Demand\Passenger road\Buses\BEV,Sales Share,Target,2055,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2056,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2057,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2058,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2059,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Target,2060,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2051,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2052,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2053,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2054,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2055,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2056,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2057,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2051,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2052,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2053,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2054,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2055,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2056,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2057,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2038,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2039,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2040,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2041,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2042,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2043,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2044,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2045,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2046,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2047,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2048,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2049,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2050,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2051,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2052,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2053,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2054,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2055,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2056,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2057,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2058,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2059,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Target,2060,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2038,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2039,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2040,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2041,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2042,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2043,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2044,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2045,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2046,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2047,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2048,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2049,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2050,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2051,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2052,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2053,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2054,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2055,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2056,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2057,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2058,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2059,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\ICE,Sales Share,Target,2060,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2044,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2045,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2046,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2047,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2048,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2049,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2050,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2051,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2052,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2053,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2054,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2055,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2056,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2057,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2058,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2059,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,2060,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2044,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2045,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2046,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2047,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2048,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2049,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2050,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2051,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2052,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2053,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2054,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2055,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2056,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2057,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2058,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2059,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,2060,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2044,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2045,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2046,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2047,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2048,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2049,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2050,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2051,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2052,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2053,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2054,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2055,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2056,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2057,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2058,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2059,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,2060,0.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Reference,2042,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Reference,2043,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Reference,2044,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Reference,2045,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Reference,2046,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Reference,2047,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
Demand\Passenger road\Motorcycles\BEV,Sales Share,Reference,2048,100.0,Share,,Survival-based replacement sales share used only where current 17SGP sales total is zero; 9th-edition shares retained in earlier years.,
